province,city,data,AQI,type,month,day
北京市,北京市,185.6988889,235.6988889,PM2.5,3,14
北京市,北京市,171.9088889,221.9088889,PM2.5,11,14
北京市,北京市,170.1247222,220.1247222,PM2.5,3,13
北京市,北京市,153.1375,203.1375,PM2.5,4,2
北京市,北京市,148.3516667,197.6452381,PM2.5,12,2
北京市,北京市,144.8101389,192.5859127,PM2.5,11,26
北京市,北京市,143.1319444,190.1884921,PM2.5,12,15
北京市,北京市,138.4573611,183.5105159,PM2.5,11,3
北京市,北京市,138.1718056,183.1025794,PM2.5,11,13
北京市,北京市,282.5659722,166.2829861,PM10,3,28
北京市,北京市,126.1595833,165.9422619,PM2.5,3,12
北京市,北京市,274.5118056,162.2559028,PM10,3,13
北京市,北京市,122.4179167,160.5970238,PM2.5,3,27
北京市,北京市,121.9825,159.975,PM2.5,3,3
北京市,北京市,117.4376389,153.4823413,PM2.5,2,27
北京市,北京市,116.6451389,152.3501984,PM2.5,10,15
北京市,北京市,114.6813889,149.6017361,PM2.5,10,14
北京市,北京市,109.7616667,143.4520833,PM2.5,2,19
北京市,北京市,108.87875,142.3484375,PM2.5,3,28
北京市,北京市,227.7384722,138.8692361,PM10,3,14
北京市,北京市,105.7318056,138.4147569,PM2.5,5,12
北京市,北京市,105.2980556,137.8725694,PM2.5,4,1
北京市,北京市,100.6868056,132.1085069,PM2.5,11,2
北京市,北京市,209.2430556,129.6215278,PM10,11,14
北京市,北京市,98.69180556,129.6147569,PM2.5,12,1
北京市,北京市,97.09972222,127.6246528,PM2.5,10,21
北京市,北京市,97.03013889,127.5376736,PM2.5,1,14
北京市,北京市,203.31625,126.658125,PM10,12,2
北京市,北京市,94.8125,124.765625,PM2.5,5,26
北京市,北京市,185.9970833,123.6337121,O3,6,23
北京市,北京市,93.03611111,122.5451389,PM2.5,4,20
北京市,北京市,92.16305556,121.4538194,PM2.5,5,14
北京市,北京市,188.9834722,119.4917361,PM10,4,2
北京市,北京市,90.48138889,119.3517361,PM2.5,4,19
北京市,北京市,188.3781944,119.1890972,PM10,4,17
北京市,北京市,185.4925,117.74625,PM10,11,26
北京市,北京市,89.1775,117.721875,PM2.5,4,18
北京市,北京市,88.80361111,117.2545139,PM2.5,2,26
北京市,北京市,182.4045833,116.2022917,PM10,4,18
北京市,北京市,182.2688889,116.1344444,PM10,11,13
北京市,北京市,177.0988889,115.5444444,O3,6,2
北京市,北京市,85.78013889,113.4751736,PM2.5,5,16
北京市,北京市,85.64777778,113.3097222,PM2.5,4,29
北京市,北京市,84.72513889,112.1564236,PM2.5,3,26
北京市,北京市,84.57041667,111.9630208,PM2.5,3,9
北京市,北京市,173.6826389,111.8413194,PM10,5,23
北京市,北京市,84.44375,111.8046875,PM2.5,10,22
北京市,北京市,173.36875,111.684375,PM10,12,15
北京市,北京市,84.16902778,111.4612847,PM2.5,1,13
北京市,北京市,83.65236111,110.8154514,PM2.5,6,26
