province,city,data,AQI,type,month,day
内蒙古自治区,乌海市,439.655,324.56875,PM10,12,2
内蒙古自治区,阿拉善盟,233.0454069,283.0454069,PM2.5,5,21
内蒙古自治区,乌海市,389.71875,256.7410714,PM10,4,9
内蒙古自治区,呼和浩特市,360.9977333,215.7110476,PM10,3,28
内蒙古自治区,乌海市,154.06375,204.06375,PM2.5,5,25
内蒙古自治区,乌兰察布市,149.7168465,199.595495,PM2.5,5,26
内蒙古自治区,乌海市,345.28375,197.641875,PM10,4,5
内蒙古自治区,呼和浩特市,326.8773333,188.4386667,PM10,3,29
内蒙古自治区,乌海市,320.305,185.1525,PM10,4,2
内蒙古自治区,乌海市,316.755,183.3775,PM10,11,26
内蒙古自治区,包头市,137.3560484,181.937212,PM2.5,5,26
内蒙古自治区,乌海市,292.63375,171.316875,PM10,3,30
内蒙古自治区,巴彦淖尔市,129.677457,170.9677958,PM2.5,5,21
内蒙古自治区,乌海市,291.61875,170.809375,PM10,3,16
内蒙古自治区,阿拉善盟,128.0507484,168.6439262,PM2.5,10,20
内蒙古自治区,乌海市,286.835,168.4175,PM10,11,14
内蒙古自治区,锡林郭勒盟,125.896685,165.5666928,PM2.5,5,23
内蒙古自治区,锡林郭勒盟,125.5622832,165.088976,PM2.5,4,1
内蒙古自治区,乌海市,278.1775,164.08875,PM10,3,14
内蒙古自治区,巴彦淖尔市,124.4053608,163.4362297,PM2.5,5,25
内蒙古自治区,乌海市,275.9525,162.97625,PM10,4,29
内蒙古自治区,乌海市,275.93,162.965,PM10,5,25
内蒙古自治区,乌海市,266.24875,158.124375,PM10,4,4
内蒙古自治区,阿拉善盟,116.6460992,152.3515702,PM2.5,4,9
内蒙古自治区,乌海市,115.61625,150.8803571,PM2.5,2,16
内蒙古自治区,阿拉善盟,113.8605426,148.5756782,PM2.5,4,4
内蒙古自治区,乌海市,245.7125,147.85625,PM10,3,28
内蒙古自治区,巴彦淖尔市,111.9309278,146.1636598,PM2.5,5,26
内蒙古自治区,锡林郭勒盟,110.5470692,144.4338364,PM2.5,3,27
内蒙古自治区,乌兰察布市,110.4210373,144.2762967,PM2.5,5,27
内蒙古自治区,阿拉善盟,237.979841,143.9899205,PM10,5,21
内蒙古自治区,乌海市,237.02,143.51,PM10,5,21
内蒙古自治区,赤峰市,109.0234704,142.529338,PM2.5,5,23
内蒙古自治区,乌海市,108.3275,141.659375,PM2.5,5,21
内蒙古自治区,乌海市,229.35875,139.679375,PM10,3,29
内蒙古自治区,乌海市,227.6075,138.80375,PM10,5,16
内蒙古自治区,乌海市,105.97,138.7125,PM2.5,4,9
内蒙古自治区,乌海市,227.2125,138.60625,PM10,2,9
内蒙古自治区,呼和浩特市,105.878,138.5975,PM2.5,5,26
内蒙古自治区,乌海市,226.86375,138.431875,PM10,12,3
内蒙古自治区,乌海市,225.44875,137.724375,PM10,11,28
内蒙古自治区,乌海市,105.1475,137.684375,PM2.5,4,29
内蒙古自治区,乌兰察布市,105.0413278,137.5516598,PM2.5,5,5
内蒙古自治区,鄂尔多斯市,103.9159326,136.1449158,PM2.5,5,22
内蒙古自治区,巴彦淖尔市,103.0657045,135.0821306,PM2.5,4,4
内蒙古自治区,鄂尔多斯市,101.9826684,133.7283355,PM2.5,4,9
内蒙古自治区,巴彦淖尔市,100.7992784,132.2490979,PM2.5,4,9
内蒙古自治区,乌海市,100.64625,132.0578125,PM2.5,2,9
内蒙古自治区,赤峰市,99.88526992,131.1065874,PM2.5,3,27
内蒙古自治区,乌兰察布市,99.66095436,130.8261929,PM2.5,5,22
