province,month,day,PM2.5,PM10,SO2,NO2,CO,O3,SO2-AQI,NO2-AQI,PM10-AQI,CO-AQI,PM2.5-AQI,O3-AQI,AQI,data,type
江西省,10,14,31.526061109085507,36.701839303237364,8.553605404910662,15.170947113739892,0.5773429962128714,52.941295319880325,8.553605404910662,18.963683892174863,36.701839303237364,14.433574905321786,45.03723015583644,26.470647659940163,45.03723015583644,31.526061109085507,PM2.5
江西省,10,15,22.408623257980874,28.652373837153473,8.484408655779422,13.397150788559992,0.6790605580462978,36.99718496649502,8.484408655779422,16.74643848569999,28.652373837153473,16.976513951157447,32.01231893997268,18.49859248324751,32.01231893997268,22.408623257980874,PM2.5
江西省,10,16,23.136756337138465,35.75418802478138,9.76870825868609,13.133060480398159,0.6724367869125,40.895226260300575,9.76870825868609,16.4163256004977,35.75418802478138,16.8109196728125,33.05250905305495,20.447613130150287,35.75418802478138,35.75418802478138,PM10
江西省,10,17,26.997018416863227,44.52740579030051,12.329189535356536,13.489119233406557,0.6613808659980674,63.190688776880506,12.329189535356536,16.861399041758197,44.52740579030051,16.534521649951685,38.567169166947465,31.595344388440253,44.52740579030051,44.52740579030051,PM10
江西省,10,18,34.995393995660706,56.93626845887575,15.847386412025783,16.443761499051714,0.6717493499312794,78.10972433335134,15.847386412025783,20.554701873814643,53.46813422943788,16.793733748281987,49.99341999380101,39.05486216667567,53.46813422943788,56.93626845887575,PM10
江西省,10,19,38.39323144509564,57.715458457120214,15.192995710221645,17.1586835590756,0.6319708744455849,68.1693522580979,15.192995710221645,21.4483544488445,53.8577292285601,15.799271861139621,54.241539306369546,34.08467612904895,54.241539306369546,38.39323144509564,PM2.5
江西省,10,20,34.09880284987426,44.831253495666715,11.24028628006146,16.470409346360213,0.6158584601961384,49.250873255730205,11.24028628006146,20.588011682950267,44.831253495666715,15.396461504903462,48.712575499820375,24.625436627865103,48.712575499820375,34.09880284987426,PM2.5
江西省,10,21,27.142169080135883,33.86157726027356,9.606578972283742,15.763851722813397,0.6253447329804281,35.95094038010827,9.606578972283742,19.704814653516745,33.86157726027356,15.633618324510703,38.77452725733698,17.975470190054136,38.77452725733698,27.142169080135883,PM2.5
江西省,10,22,23.580367105397407,35.14904000979792,8.521294320207424,14.552914335722049,0.7524849696459545,35.236657833909504,8.521294320207424,18.19114291965256,35.14904000979792,18.81212424114886,33.6862387219963,17.618328916954752,35.14904000979792,35.14904000979792,PM10
江西省,10,23,29.177433859915254,47.1957779375754,12.707375139541586,17.442772681884204,0.8449493272745277,39.9048366399437,12.707375139541586,21.803465852355256,47.1957779375754,21.12373318186319,41.68204837130751,19.95241831997185,47.1957779375754,47.1957779375754,PM10
江西省,10,24,34.698932162534426,54.45972049220668,15.651033338809965,16.24969508438515,0.768484935885894,46.83973917727483,15.651033338809965,20.312118855481437,52.22986024610334,19.212123397147348,49.56990308933489,23.419869588637415,52.22986024610334,54.45972049220668,PM10
江西省,10,25,33.93736670552824,50.31370914657569,12.365185658951368,17.097091184047848,0.8222723244026721,31.85666358662381,12.365185658951368,21.37136398005981,50.156854573287845,20.5568081100668,48.481952436468916,15.928331793311905,50.156854573287845,50.31370914657569,PM10
江西省,10,26,31.366679463605156,54.56553315913141,13.714944859318079,15.861432832108967,0.6846884028940624,55.91001205496737,13.714944859318079,19.826791040136207,52.2827665795657,17.11721007235156,44.80954209086451,27.955006027483684,52.2827665795657,54.56553315913141,PM10
江西省,10,27,25.157259353787428,54.8413658318929,13.014883916782198,19.223736690283708,0.4899833390350325,58.275679911863726,13.014883916782198,24.029670862854637,52.42068291594645,12.249583475875813,35.93894193398204,29.137839955931863,52.42068291594645,54.8413658318929,PM10
江西省,10,28,28.283685281588916,61.49540032642228,15.042794085012337,24.458817302931276,0.5957033195892377,60.20709071553322,15.042794085012337,30.573521628664096,55.747700163211135,14.892582989730943,40.405264687984165,30.10354535776661,55.747700163211135,61.49540032642228,PM10
江西省,10,29,31.419298128717355,63.11719589387638,16.487990340121357,24.19010800518555,0.641391741614001,62.057531834611716,16.487990340121357,30.237635006481938,56.55859794693819,16.034793540350027,44.884711612453366,31.028765917305858,56.55859794693819,63.11719589387638,PM10
江西省,10,30,32.948226276430375,63.726047582929716,16.955335638395244,25.751145319055073,0.6226890750943782,64.89487248375015,16.955335638395244,32.188931648818844,56.863023791464855,15.567226877359456,47.068894680614825,32.447436241875074,56.863023791464855,63.726047582929716,PM10
江西省,10,31,34.18827019076685,64.52890374894218,17.543634105088316,24.126326745620194,0.5965520598888469,75.2062850879562,17.543634105088316,30.15790843202524,57.26445187447109,14.913801497221172,48.840385986809785,37.6031425439781,57.26445187447109,64.52890374894218,PM10
江西省,11,1,35.382214851275684,61.17443332350538,15.90750511539939,18.707655052830745,0.6077700170900928,90.32337322684658,15.90750511539939,23.38456881603843,55.58721666175269,15.194250427252321,50.4777685640946,45.16168661342329,55.58721666175269,61.17443332350538,PM10
江西省,11,2,29.50964281630926,47.13120554212655,12.27611535550094,17.531189892838068,0.5365606773318449,68.42967280124479,12.27611535550094,21.913987366047586,47.13120554212655,13.414016933296121,42.15663259472751,34.214836400622396,47.13120554212655,47.13120554212655,PM10
江西省,11,3,29.107946759634377,41.30267629991238,10.319449571097186,15.935469565680574,0.5346043163362681,48.91220510512132,10.319449571097186,19.919336957100718,41.30267629991238,13.365107908406703,41.58278108519197,24.45610255256066,41.58278108519197,29.107946759634377,PM2.5
江西省,11,4,32.137904124053975,46.49997347659603,9.56107110093808,16.014243679366448,0.5946780194247885,39.66711558244357,9.56107110093808,20.01780459920806,46.49997347659603,14.866950485619713,45.91129160579139,19.833557791221786,46.49997347659603,46.49997347659603,PM10
江西省,11,5,35.93732796435838,53.57299228545105,12.383614022728771,18.087509523713063,0.6936389556587863,34.642132047975295,12.383614022728771,22.60938690464133,51.786496142725525,17.34097389146966,51.17165995544798,17.321066023987647,51.786496142725525,53.57299228545105,PM10
江西省,11,6,30.59658197130244,48.29072056235258,11.645775977991441,19.341428275251022,0.7556417941296505,22.360410259757405,11.645775977991441,24.176785344063777,48.29072056235258,18.89104485324126,43.709402816146344,11.180205129878702,48.29072056235258,48.29072056235258,PM10
江西省,11,7,13.657897711893144,23.57581474992047,9.42422371329156,18.446455135130268,0.7919319355918063,13.095589575193408,9.42422371329156,23.058068918912834,23.57581474992047,19.798298389795157,19.511282445561633,6.547794787596704,23.57581474992047,23.57581474992047,PM10
江西省,11,8,12.891873383268216,24.246528296932492,9.935066299882363,16.51510071563826,0.747118549577774,24.33088724289838,9.935066299882363,20.643875894547822,24.246528296932492,18.67796373944435,18.41696197609745,12.16544362144919,24.246528296932492,24.246528296932492,PM10
江西省,11,9,32.83448967129704,50.75272675507301,20.497502119381576,19.025642671516113,0.7247152087572096,37.478462507952365,20.497502119381576,23.78205333939514,50.37636337753651,18.117880218930242,46.90641381613863,18.739231253976183,50.37636337753651,50.75272675507301,PM10
江西省,11,10,33.7661785228248,53.253592312384086,17.963959768135904,24.22837065845622,0.6980880706200447,34.5536563117059,17.963959768135904,30.285463323070275,51.62679615619204,17.45220176550112,48.237397889749715,17.27682815585295,51.62679615619204,53.253592312384086,PM10
